iter	Logloss
147	0.1401455356
148	0.1400931598
149	0.1400418034
150	0.1399385286
151	0.1398388778
152	0.1397346658
153	0.1395742831
154	0.1394564763
155	0.1393413106
156	0.1391796026
157	0.1389933944
158	0.138791041
159	0.1387430364
160	0.1386323741
161	0.1384823525
162	0.1384022823
163	0.1383688003
164	0.1382408365
165	0.1382001996
166	0.1380987129
167	0.1379545348
168	0.1379001834
169	0.1377007362
170	0.1375319207
171	0.1374248673
172	0.1373202929
173	0.1372156351
174	0.1371287265
175	0.1369906991
176	0.1368651848
177	0.1368201422
178	0.1367617898
179	0.1366608239
180	0.1365838848
181	0.1365360873
182	0.136376728
183	0.1362227523
184	0.1361843804
185	0.1361372005
186	0.1360851233
187	0.1360327604
188	0.1359272959
189	0.1358453536
190	0.1356928848
191	0.1355990778
192	0.1353896377
193	0.1353686525
194	0.1352574844
195	0.1351431621
196	0.1351144606
197	0.1349902812
198	0.1348466163
199	0.1347894342
200	0.1346403913
201	0.1345136345
202	0.1344631439
203	0.1344171213
204	0.1343805471
205	0.1343379864
206	0.1342995338
207	0.1342115943
208	0.1341724075
209	0.1340417983
210	0.1340097922
211	0.1339726689
212	0.1339261424
213	0.1338665873
214	0.1337982733
215	0.1336259755
216	0.1335826401
217	0.1334839487
218	0.1334490543
219	0.1333420016
220	0.1332538877
221	0.1331889014
222	0.1331608758
223	0.1331228923
224	0.1330563274
225	0.1330005803
226	0.132959188
227	0.132907238
228	0.1328681882
229	0.1327059226
230	0.1326637856
231	0.1326112866
232	0.1324447931
233	0.1323593726
234	0.1323185858
235	0.1322795158
236	0.1322268162
237	0.1320920632
238	0.1320433637
239	0.1319383588
240	0.1319023323
241	0.1318671019
242	0.1317194454
243	0.1316634629
244	0.131618765
245	0.1314986469
246	0.1314703585
247	0.1314199135
248	0.1313715488
249	0.1313366242
250	0.1312980519
251	0.1312233157
252	0.1311089667
253	0.1310683256
254	0.1309318663
255	0.1307767157
256	0.1307268042
257	0.130595353
258	0.1304379691
259	0.1303919301
260	0.1303486645
261	0.1301766086
262	0.1300926524
263	0.1300039983
264	0.1299646202
265	0.1298628658
266	0.1297976407
267	0.1296394294
268	0.1295424953
269	0.129502549
270	0.1294726272
271	0.1294169193
272	0.1292571037
273	0.1292219778
274	0.1290560197
275	0.1289217992
276	0.1288011621
277	0.1287476768
278	0.1286444539
279	0.1284895569
280	0.1284405345
281	0.128394902
282	0.1282307027
283	0.1281722988
284	0.1280735099
285	0.1279547595
286	0.1278966492
287	0.1278578147
288	0.1278012882
289	0.1276307052
290	0.1276007393
291	0.1274983404
292	0.127348994
293	0.1273135275
294	0.1272543461
295	0.1271791691
296	0.127138497
297	0.1269775318
298	0.1268889332
299	0.1268437287
300	0.1267929288
301	0.1266630711
302	0.1265049515
303	0.1264668357
304	0.1263450295
305	0.126302543
306	0.1262041224
307	0.1260663363
308	0.1260143858
309	0.1259688644
310	0.1258711877
311	0.1257270738
312	0.1255732348
313	0.1255136727
314	0.1254014047
315	0.1253567649
316	0.1252673143
317	0.1251931726
318	0.1251057111
319	0.1250140222
320	0.124925787
321	0.124879061
322	0.12475729
323	0.12469689
324	0.1246477878
325	0.1244865544
326	0.1243428263
327	0.124275844
328	0.1241846898
329	0.1240715365
330	0.1240120784
331	0.1239127226
332	0.1238753475
333	0.1237403683
334	0.1236999658
335	0.1235877843
336	0.1235013849
337	0.1233942657
338	0.1232979521
339	0.1231989861
340	0.1231194384
341	0.1230813308
342	0.1230352023
343	0.1229892417
344	0.1228180782
345	0.1227585037
346	0.1226669195
347	0.1226081515
348	0.1225691709
349	0.1225115741
350	0.1224323022
351	0.1223029245
352	0.122211862
353	0.1220738857
354	0.1219615276
355	0.1219226897
356	0.121800743
357	0.1216524225
358	0.1216099184
359	0.121537028
360	0.1214393353
361	0.1212821974
362	0.1211212632
363	0.1210760798
364	0.1210387889
365	0.1210070754
366	0.1209236045
367	0.1208430337
368	0.1208108812
369	0.1207397254
370	0.1206926632
371	0.1206554929
372	0.1205403947
373	0.1205055818
374	0.1204742699
375	0.1204426158
376	0.1204111203
377	0.1202814841
378	0.1202492531
379	0.1201615503
380	0.1200956172
381	0.1200603801
382	0.1199145358
383	0.1198647229
384	0.1197024665
385	0.1196329755
386	0.1195503146
387	0.1195184782
388	0.1194643689
389	0.119424988
390	0.1193932066
391	0.1193578167
392	0.1193261153
393	0.1192698362
394	0.1192389562
395	0.1192079804
396	0.1190907296
397	0.1190487456
398	0.1189291529
399	0.1188926178
400	0.1188617897
401	0.1188310846
402	0.1187998583
403	0.1187708757
404	0.1187410056
405	0.1187066332
406	0.1186309655
407	0.1185904412
408	0.1185591133
409	0.1185287058
410	0.1184977234
411	0.1184627666
412	0.1184333787
413	0.1184006067
414	0.1183701983
415	0.1183393416
416	0.1183091205
417	0.1182780409
418	0.1182236988
419	0.118118292
420	0.1180891221
421	0.1180587609
422	0.1179443251
423	0.1179166523
424	0.1177856963
425	0.1177557426
426	0.1177263707
427	0.1176561426
428	0.1175779778
429	0.1175475093
430	0.1175174012
431	0.1174869863
432	0.1173901035
433	0.1173601818
434	0.117329827
435	0.1172992074
436	0.1172694349
437	0.1171820003
438	0.1171532959
439	0.1170494698
440	0.1169223771
441	0.1168930961
442	0.116864194
443	0.116837087
444	0.116807279
445	0.1167782106
446	0.1167487193
447	0.1167193343
448	0.1166636687
449	0.1165844417
450	0.1165554387
451	0.1165260799
452	0.1164961429
453	0.1164662949
454	0.1164364512
455	0.1163506895
456	0.1163208785
457	0.1162006193
458	0.1161722838
459	0.1161425574
460	0.1161140964
461	0.1160875135
462	0.1160271086
463	0.1159980932
464	0.115878281
465	0.1158167989
466	0.1157011498
467	0.1156721011
468	0.11564373
469	0.1156141182
470	0.1155865621
471	0.1155567964
472	0.1155273369
473	0.1154519326
474	0.1153323682
475	0.1152868348
476	0.1152591742
477	0.1151998157
478	0.1151704593
479	0.1151418617
480	0.1151133486
481	0.1150847252
482	0.1150572731
483	0.1150287367
484	0.1150007629
485	0.1149722954
486	0.1149438497
487	0.114914666
488	0.114887238
489	0.1148582022
490	0.1148292708
491	0.1147764142
492	0.1147479891
493	0.1147191926
494	0.1146520607
495	0.1146232662
496	0.1145949168
497	0.1145661921
498	0.1145385349
499	0.1145098375
500	0.1144813932
501	0.1144541998
502	0.1144255801
503	0.1143970412
504	0.1143690345
505	0.1142309905
506	0.1142031213
507	0.1141746578
508	0.1141461627
509	0.114118226
510	0.1140898648
511	0.1140018901
512	0.113962844
513	0.1139345478
514	0.1139068093
515	0.1138785968
516	0.1137790145
517	0.1137513838
518	0.1137237374
519	0.1136040538
520	0.1135792097
521	0.1135532189
522	0.1134688622
523	0.1134412402
524	0.113413045
525	0.1133850081
526	0.113346805
527	0.1133187436
528	0.1132793382
529	0.1132530268
530	0.1132260538
531	0.1131980057
532	0.113170601
533	0.1131425659
534	0.1131147802
535	0.1130889454
536	0.1130615864
537	0.1130337594
538	0.11300707
539	0.1129793659
540	0.1129514928
541	0.1129252769
542	0.1127914347
543	0.112763658
544	0.1127360174
545	0.1127085014
546	0.1126810133
547	0.1125852463
548	0.112558133
549	0.1124925285
550	0.112467066
551	0.11244017
552	0.112414937
553	0.1123893383
554	0.1122738296
555	0.1121847846
556	0.1121573362
557	0.1121306156
558	0.1121041815
559	0.1120777233
560	0.1120504616
561	0.1120232659
562	0.1119962559
563	0.1119690611
564	0.1119429091
565	0.1119092821
566	0.1118573125
567	0.1118301879
568	0.1118031291
569	0.1117765952
570	0.1117495142
571	0.1117230281
572	0.1116970445
573	0.1116267776
574	0.1116003226
575	0.1115733192
576	0.1115482832
577	0.1115214756
578	0.1114946668
579	0.1114683735
580	0.1114419395
581	0.1114160261
582	0.1113894034
583	0.1113626288
584	0.1113364028
585	0.111309749
586	0.1112832387
587	0.1111371565
588	0.1110358231
589	0.1110098443
590	0.1109831397
591	0.1109566706
592	0.1109302191
593	0.110903725
594	0.1108380495
595	0.1108121548
596	0.1107865672
597	0.1107636663
598	0.1107373131
599	0.1107119799
600	0.1106855968
601	0.1106597951
602	0.1105723854
603	0.1105461408
604	0.1105206464
605	0.1104944187
606	0.1104687059
607	0.1103534095
608	0.1103276756
609	0.1102240178
610	0.1101978952
611	0.1101179229
612	0.1100931449
613	0.1100670628
614	0.1100410399
615	0.1100149757
616	0.1099889626
617	0.1099642509
618	0.1099123377
619	0.1098869138
620	0.1098609414
621	0.1098257882
622	0.1097998933
623	0.1097745805
624	0.1097485185
625	0.1097226787
626	0.1096969482
627	0.109671494
628	0.1096468595
629	0.1096214682
630	0.1095957839
631	0.10956398
632	0.1095386746
633	0.1094939714
634	0.1094690356
635	0.1094439272
636	0.1094181054
637	0.1093925103
638	0.1093670018
639	0.109342185
640	0.109316573
641	0.1092915527
642	0.1092609922
643	0.1092360218
644	0.1091739279
645	0.1091489067
646	0.1091234818
647	0.1090985717
648	0.1090741518
649	0.1089745286
650	0.1089500779
651	0.1089256066
652	0.1087941232
653	0.108675052
654	0.1085589739
655	0.108534084
656	0.1085086895
657	0.1084834457
658	0.1084581758
659	0.1084330339
660	0.1084083521
661	0.1083341971
662	0.1083095826
663	0.1082855615
664	0.1082611804
665	0.1082361177
666	0.1082034351
667	0.1081787063
668	0.1081537535
669	0.1080760394
670	0.1080524429
671	0.1080274584
672	0.1079586483
673	0.1079337594
674	0.1079089241
675	0.1078840729
676	0.1078592663
677	0.1077908171
678	0.107766728
679	0.107741995
680	0.1077176708
681	0.1076705539
682	0.1076458205
683	0.1076216201
684	0.107596972
685	0.1075722865
686	0.107547689
687	0.1075239923
688	0.1074998881
689	0.1074753068
690	0.107450743
691	0.1074262683
692	0.1073842841
693	0.1073598703
694	0.1073359084
695	0.1073115037
696	0.1072873307
697	0.1072638917
698	0.1072395089
699	0.1072157045
700	0.1071917604
701	0.1071683809
702	0.1071441923
703	0.107120367
704	0.1070964331
705	0.1070722431
706	0.1070481556
707	0.1070244351
708	0.1069200457
709	0.1068966864
710	0.1068730687
711	0.1068490667
712	0.1068249642
713	0.1067944307
714	0.1067703482
715	0.1067470978
716	0.1067231697
717	0.1066531058
718	0.1066291838
719	0.1066053043
720	0.1065832412
721	0.1065597521
722	0.10653621
723	0.1065123796
724	0.1064884312
725	0.1064650708
726	0.1064416848
727	0.106418432
728	0.1063955381
729	0.1062872589
730	0.1062640193
731	0.1062406496
732	0.1062170387
733	0.1061526062
734	0.1061290774
735	0.1061054525
736	0.1060817749
737	0.1059597523
738	0.1059018247
739	0.1058786949
740	0.1058075711
741	0.1057840086
742	0.105760998
743	0.1057375661
744	0.1057139553
745	0.1056904424
746	0.1056670177
747	0.1056436479
748	0.1056202832
749	0.105596943
750	0.1055740252
751	0.1055505079
752	0.1055275921
753	0.1054532652
754	0.105430373
755	0.1054070959
756	0.1053843699
757	0.1053611488
758	0.1053392624
759	0.1053163814
760	0.1052933491
761	0.105270568
762	0.1051582682
763	0.1051349445
764	0.1051119129
765	0.1050802077
766	0.1050576713
767	0.1050350523
768	0.1050118869
769	0.1049889448
770	0.1049670978
771	0.1049441434
772	0.1049211501
773	0.1048982502
774	0.1048754281
775	0.1048525313
776	0.1048058546
777	0.1047830968
778	0.1047603081
779	0.1047375458
780	0.1047150265
781	0.1046923605
782	0.1046697256
783	0.104605332
784	0.1045824655
785	0.1045598349
786	0.1045371793
787	0.1045143971
788	0.1044921693
789	0.1044700354
790	0.1044475108
791	0.1044248192
792	0.1044027558
793	0.104380505
794	0.1043043516
795	0.1042818323
796	0.1042593878
797	0.1042368691
798	0.1041534072
799	0.1041310013
800	0.1041088307
801	0.1040864558
802	0.1040644851
803	0.1040421596
804	0.1040202194
805	0.1039851693
806	0.1039628923
807	0.1039409757
808	0.103919335
809	0.1038971766
810	0.1038749828
811	0.1038527049
812	0.1037686373
813	0.1037465395
814	0.1037244996
815	0.1036631143
816	0.1036411198
817	0.103600822
818	0.1035797538
819	0.1035575696
820	0.1035355799
821	0.1035147404
822	0.1034928484
823	0.1034712583
824	0.1034421248
825	0.1034200983
826	0.1033982705
827	0.103296392
828	0.1032745423
829	0.1032530502
830	0.1031576344
831	0.1031257632
832	0.1031039861
833	0.1030750009
834	0.1030535881
835	0.1030318675
836	0.1030101205
837	0.1029883294
838	0.1029665002
839	0.1029448158
840	0.1029231645
841	0.1028677942
842	0.1027390921
843	0.1027173712
844	0.1026957882
845	0.1026675718
846	0.1025696023
847	0.1025482567
848	0.1025275491
849	0.102505848
850	0.1024850955
851	0.1024639526
852	0.102442533
853	0.1023323613
854	0.102304198
855	0.102282665
856	0.1022609974
857	0.1022059968
858	0.1021845335
859	0.1021635251
860	0.10203908
861	0.1020171154
862	0.1019959676
863	0.1019746298
864	0.1018540194
865	0.1018327076
866	0.1018119634
867	0.1017906777
868	0.1017698392
869	0.1017483407
870	0.1017275276
871	0.1016734428
872	0.101652283
873	0.1015594187
874	0.1015385418
875	0.1015175889
876	0.101496442
877	0.1014752556
878	0.1014542279
879	0.1014338475
880	0.1014127883
881	0.1013916148
882	0.1013705992
883	0.1013499368
884	0.1013289666
885	0.1013080215
886	0.1012871615
887	0.1012661939
888	0.1012454655
889	0.101224603
890	0.1011971172
891	0.1011420939
892	0.1011213494
893	0.1011006849
894	0.1010797376
895	0.1010132692
896	0.1009928073
897	0.1009726099
898	0.1009524641
899	0.1008996841
900	0.1008217788
901	0.1008014228
902	0.1007810761
903	0.100760503
904	0.1006631499
905	0.100642778
906	0.1006227137
907	0.1006021368
908	0.1005819175
909	0.1005476359
910	0.100526972
911	0.100507248
912	0.1004870406
913	0.100466402
914	0.1004459917
915	0.1003346419
916	0.10028233
917	0.1002623361
918	0.1002426083
919	0.100223219
920	0.1002027528
921	0.1001824056
922	0.100161856
923	0.1001416245
924	0.1001213274
925	0.100101795
926	0.1000819567
927	0.1000624735
928	0.1000422845
929	0.1000124458
930	0.09999253728
931	0.09997229295
932	0.09995245961
933	0.09993268593
934	0.0999124777
935	0.09989263431
936	0.09983634536
937	0.09981608563
938	0.09979626362
939	0.09977636928
940	0.099756851
941	0.09973714448
942	0.09971716399
943	0.09969708099
944	0.09967706517
945	0.09965717153
946	0.09963765738
947	0.09961809271
948	0.09959876469
949	0.09957933779
950	0.09955962669
951	0.09951965596
952	0.09939980068
